지점,추천 키워드,월 검색량,경쟁도,추천 주제
성수점,태슬컷,9750,높음,TRUE
성수점,샤기컷,8150,높음,TRUE
성수점,시스루뱅,7860,높음,TRUE
성수점,픽시컷,7290,높음,TRUE
성수점,레이어드단발,5980,높음,TRUE
성수점,처피뱅,4570,높음,TRUE
성수점,커튼뱅,2950,높음,TRUE
성수점,거지존,900,높음,TRUE
성수점,볼륨펌,3760,높음,TRUE
성수점,S컬펌,1560,높음,TRUE
성수점,바디펌,570,높음,TRUE
성수점,올리브브라운,1580,높음,TRUE
성수점,그레이염색,780,높음,TRUE
성수점,가을염색,420,높음,TRUE
성수점,탈모케어,510,높음,TRUE
성수점,두피케어,6750,높음,TRUE
성수점,가을단발,280,높음,TRUE
성수점,가을헤어스타일,190,높음,TRUE
성수점,가을웜톤,3200,중간,TRUE
성수점,손상모복구,520,높음,TRUE
